,País,Ano,Quantidade,Valor
0,Africa do Sul,2008,9212,30630
1,Alemanha,2008,1959,12516
2,Argentina,2008,1015357,3094003
3,Austrália,2008,495,3343
4,Áustria,2008,756,6680
5,Bermudas,2008,0,0
6,Bahamas,2008,0,0
7,Bélgica,2008,0,0
8,Brasil,2008,1072,7645
9,Bulgária,2008,0,0
10,Canada,2008,0,0
11,Chile,2008,84673,234038
12,Croácia,2008,0,0
13,Cuba,2008,0,0
14,Emirados Árabes Unidos,2008,0,0
15,Eslovênia,2008,0,0
16,Espanha,2008,266955,1179471
17,Estados Unidos,2008,12417,34991
18,França,2008,991608,10773247
19,Geórgia,2008,0,0
20,Granada,2008,0,0
21,Grécia,2008,0,0
22,Hong Kong,2008,0,0
23,Hungria,2008,0,0
24,Indonésia,2008,0,0
25,Irlanda,2008,0,0
26,Israel,2008,1350,6912
27,Itália,2008,1051675,4474690
28,Luxemburgo,2008,0,0
29,México,2008,0,0
30,Moldávia,2008,0,0
31,Nova Zelândia,2008,315,3921
32,Países Baixos,2008,0,0
33,Panamá,2008,0,0
34,Peru,2008,0,0
35,Portugal,2008,62471,273717
36,Reino Unido,2008,0,0
37,Romênia,2008,0,0
38,Suíça,2008,0,0
39,Tunísia,2008,0,0
40,Ucrânia,2008,0,0
41,Uruguai,2008,1755,8372
42,Não consta na tabela,2008,0,0
43,Não declarados,2008,0,0
44,Outros,2008,0,0
45,Africa do Sul,2009,10381,42463
46,Alemanha,2009,1170,8434
47,Argentina,2009,894550,2730102
48,Austrália,2009,225,2108
49,Áustria,2009,0,0
50,Bermudas,2009,0,0
51,Bahamas,2009,0,0
52,Bélgica,2009,0,0
53,Brasil,2009,0,0
54,Bulgária,2009,0,0
55,Canada,2009,0,0
56,Chile,2009,39533,165731
57,Croácia,2009,0,0
58,Cuba,2009,0,0
59,Emirados Árabes Unidos,2009,0,0
60,Eslovênia,2009,0,0
61,Espanha,2009,388452,1397582
62,Estados Unidos,2009,7119,25952
63,França,2009,1130768,11933677
64,Geórgia,2009,0,0
65,Granada,2009,0,0
66,Grécia,2009,0,0
67,Hong Kong,2009,0,0
68,Hungria,2009,0,0
69,Indonésia,2009,0,0
70,Irlanda,2009,0,0
71,Israel,2009,0,0
72,Itália,2009,693765,2984665
73,Luxemburgo,2009,0,0
74,México,2009,0,0
75,Moldávia,2009,0,0
76,Nova Zelândia,2009,630,5106
77,Países Baixos,2009,0,0
78,Panamá,2009,0,0
79,Peru,2009,0,0
80,Portugal,2009,31170,164404
81,Reino Unido,2009,0,0
82,Romênia,2009,0,0
83,Suíça,2009,0,0
84,Tunísia,2009,0,0
85,Ucrânia,2009,0,0
86,Uruguai,2009,900,10200
87,Não consta na tabela,2009,0,0
88,Não declarados,2009,0,0
89,Outros,2009,972,2665
90,Africa do Sul,2010,8121,37035
91,Alemanha,2010,1116,5753
92,Argentina,2010,1086901,3583463
93,Austrália,2010,0,0
94,Áustria,2010,0,0
95,Bermudas,2010,0,0
96,Bahamas,2010,0,0
97,Bélgica,2010,0,0
98,Brasil,2010,468,62570
99,Bulgária,2010,0,0
100,Canada,2010,0,0
101,Chile,2010,68562,243004
102,Croácia,2010,0,0
103,Cuba,2010,0,0
104,Emirados Árabes Unidos,2010,0,0
105,Eslovênia,2010,0,0
106,Espanha,2010,512539,1904476
107,Estados Unidos,2010,11387,49664
108,França,2010,1462949,17012302
109,Geórgia,2010,0,0
110,Granada,2010,0,0
111,Grécia,2010,0,0
112,Hong Kong,2010,0,0
113,Hungria,2010,0,0
114,Indonésia,2010,0,0
115,Irlanda,2010,0,0
116,Israel,2010,1224,5467
117,Itália,2010,1079836,4703738
118,Luxemburgo,2010,0,0
119,México,2010,396,834
120,Moldávia,2010,0,0
121,Nova Zelândia,2010,720,6858
122,Países Baixos,2010,0,0
123,Panamá,2010,0,0
124,Peru,2010,0,0
125,Portugal,2010,74184,326868
126,Reino Unido,2010,0,0
127,Romênia,2010,0,0
128,Suíça,2010,0,0
129,Tunísia,2010,0,0
130,Ucrânia,2010,0,0
131,Uruguai,2010,5850,19080
132,Não consta na tabela,2010,0,0
133,Não declarados,2010,0,0
134,Outros,2010,0,0
135,Africa do Sul,2011,20213,123099
136,Alemanha,2011,810,8800
137,Argentina,2011,997492,3818944
138,Austrália,2011,45,174
139,Áustria,2011,0,0
140,Bermudas,2011,0,0
