,País,Ano,Quantidade,Valor
0,Africa do Sul,2008,14379,10961
1,Alemanha,2008,60850,68950
2,Argentina,2008,0,0
3,Austria,2008,0,0
4,Canadá,2008,0,0
5,"Coreia do Sul, República",2008,735,270
6,"Coreia do Norte, República",2008,0,0
7,Chile,2008,100000,130000
8,China,2008,0,0
9,Dinamarca,2008,0,0
10,Espanha,2008,0,0
11,Estados Unidos,2008,8455,14898
12,França,2008,0,0
13,Guiana,2008,0,0
14,Israel,2008,900,1551
15,itália,2008,0,0
16,Japão,2008,0,0
17,Líbano,2008,0,0
18,México,2008,0,0
19,Países Baixos,2008,0,0
20,Panamá,2008,0,0
21,Peru,2008,0,0
22,Portugal,2008,0,0
23,Reino Unido,2008,0,0
24,Taiwan,2008,0,0
25,Turquia,2008,0,0
26,Uruguai,2008,0,0
27,Venezuela,2008,0,0
28,Outros,2008,0,0
29,Africa do Sul,2009,11839,9400
30,Alemanha,2009,0,0
31,Argentina,2009,0,0
32,Austria,2009,0,0
33,Canadá,2009,0,0
34,"Coreia do Sul, República",2009,16661,17249
35,"Coreia do Norte, República",2009,0,0
36,Chile,2009,0,0
37,China,2009,0,0
38,Dinamarca,2009,0,0
39,Espanha,2009,0,0
40,Estados Unidos,2009,13178,24066
41,França,2009,0,0
42,Guiana,2009,0,0
43,Israel,2009,900,1783
44,itália,2009,0,0
45,Japão,2009,0,0
46,Líbano,2009,0,0
47,México,2009,0,0
48,Países Baixos,2009,0,0
49,Panamá,2009,0,0
50,Peru,2009,0,0
51,Portugal,2009,0,0
52,Reino Unido,2009,0,0
53,Taiwan,2009,0,0
54,Turquia,2009,0,0
55,Uruguai,2009,0,0
56,Venezuela,2009,0,0
57,Outros,2009,0,0
58,Africa do Sul,2010,37353,31729
59,Alemanha,2010,0,0
60,Argentina,2010,108000,138240
61,Austria,2010,0,0
62,Canadá,2010,0,0
63,"Coreia do Sul, República",2010,15080,18097
64,"Coreia do Norte, República",2010,0,0
65,Chile,2010,1015000,3003445
66,China,2010,0,0
67,Dinamarca,2010,0,0
68,Espanha,2010,0,0
69,Estados Unidos,2010,10657,17793
70,França,2010,0,0
71,Guiana,2010,0,0
72,Israel,2010,1125,1684
73,itália,2010,0,0
74,Japão,2010,0,0
75,Líbano,2010,0,0
76,México,2010,0,0
77,Países Baixos,2010,0,0
78,Panamá,2010,0,0
79,Peru,2010,0,0
80,Portugal,2010,0,0
81,Reino Unido,2010,0,0
82,Taiwan,2010,0,0
83,Turquia,2010,0,0
84,Uruguai,2010,2139,1783
85,Venezuela,2010,0,0
86,Outros,2010,0,0
87,Africa do Sul,2011,38796,34605
88,Alemanha,2011,0,0
89,Argentina,2011,0,0
90,Austria,2011,3264,3254
91,Canadá,2011,0,0
92,"Coreia do Sul, República",2011,130902,136380
93,"Coreia do Norte, República",2011,0,0
94,Chile,2011,0,0
95,China,2011,0,0
96,Dinamarca,2011,0,0
97,Espanha,2011,0,0
98,Estados Unidos,2011,12487,13866
99,França,2011,0,0
100,Guiana,2011,0,0
101,Israel,2011,0,0
102,itália,2011,0,0
103,Japão,2011,0,0
104,Líbano,2011,0,0
105,México,2011,0,0
106,Países Baixos,2011,0,0
107,Panamá,2011,0,0
108,Peru,2011,0,0
109,Portugal,2011,0,0
110,Reino Unido,2011,1632,1016
111,Taiwan,2011,0,0
112,Turquia,2011,0,0
113,Uruguai,2011,5786,4989
114,Venezuela,2011,0,0
115,Outros,2011,0,0
116,Africa do Sul,2012,74388,71839
117,Alemanha,2012,0,0
118,Argentina,2012,0,0
119,Austria,2012,0,0
120,Canadá,2012,0,0
121,"Coreia do Sul, República",2012,542548,577061
122,"Coreia do Norte, República",2012,0,0
123,Chile,2012,0,0
124,China,2012,0,0
125,Dinamarca,2012,0,0
126,Espanha,2012,0,0
127,Estados Unidos,2012,13498,9740
128,França,2012,0,0
129,Guiana,2012,0,0
130,Israel,2012,1139,2021
131,itália,2012,0,0
132,Japão,2012,0,0
133,Líbano,2012,0,0
134,México,2012,0,0
135,Países Baixos,2012,0,0
136,Panamá,2012,0,0
137,Peru,2012,0,0
138,Portugal,2012,1151,3796
139,Reino Unido,2012,0,0
140,Taiwan,2012,1632,1034
141,Turquia,2012,6210,15446
142,Uruguai,2012,0,0
143,Venezuela,2012,0,0
144,Outros,2012,0,0
145,Africa do Sul,2013,67758,68254
146,Alemanha,2013,0,0
147,Argentina,2013,0,0
148,Austria,2013,0,0
149,Canadá,2013,0,0
150,"Coreia do Sul, República",2013,176796,227252
151,"Coreia do Norte, República",2013,0,0
152,Chile,2013,0,0
153,China,2013,0,0
154,Dinamarca,2013,0,0
155,Espanha,2013,9588,8215
156,Estados Unidos,2013,32044,34722
157,França,2013,0,0
158,Guiana,2013,0,0
159,Israel,2013,2528,4831
160,itália,2013,771457,408318
161,Japão,2013,0,0
162,Líbano,2013,0,0
163,México,2013,0,0
164,Países Baixos,2013,0,0
165,Panamá,2013,0,0
166,Peru,2013,0,0
167,Portugal,2013,0,0
168,Reino Unido,2013,0,0
169,Taiwan,2013,3672,2328
170,Turquia,2013,0,0
171,Uruguai,2013,0,0
172,Venezuela,2013,0,0
173,Outros,2013,0,0
174,Africa do Sul,2014,43104,40489
175,Alemanha,2014,0,0
176,Argentina,2014,0,0
177,Austria,2014,0,0
178,Canadá,2014,0,0
179,"Coreia do Sul, República",2014,12655,14784
180,"Coreia do Norte, República",2014,16704,24698
181,Chile,2014,0,0
182,China,2014,0,0
183,Dinamarca,2014,0,0
