,País,Ano,Quantidade,Valor
0,Afeganistão,2008,0,0
1,África do Sul,2008,641051,1032307
2,"Alemanha, República Democrática",2008,0,0
3,Arábia Saudita,2008,0,0
4,Argentina,2008,15641645,26994373
5,Austrália,2008,0,0
6,Bélgica,2008,0,0
7,Chile,2008,2075850,3697242
8,China,2008,0,0
9,China Continental,2008,0,0
10,Cingapura,2008,0,0
11,Costa Rica,2008,0,0
12,Emirados,2008,124510,204910
13,Espanha,2008,0,0
14,Estados Unidos,2008,448157,923410
15,França,2008,0,0
16,Grécia,2008,0,0
17,Guiana Britânica,2008,0,0
18,Índia,2008,0,0
19,Irã,2008,1089540,1925865
20,Itália,2008,1250,5491
21,Japão,2008,0,0
22,México,2008,0,0
23,Países Baixos,2008,0,0
24,Paraguai,2008,0,0
25,Peru,2008,0,0
26,Portugal,2008,0,0
27,Reino Unido,2008,0,0
28,Suécia,2008,0,0
29,Turquia,2008,124100,188996
30,Uruguai,2008,0,0
31,Uzbequistão,2008,0,0
32,Venezuela,2008,0,0
33,Não consta na tabela,2008,0,0
34,Outros,2008,0,0
35,Afeganistão,2009,0,0
36,África do Sul,2009,195000,563360
37,"Alemanha, República Democrática",2009,0,0
38,Arábia Saudita,2009,0,0
39,Argentina,2009,17209323,24106889
40,Austrália,2009,0,0
41,Bélgica,2009,0,0
42,Chile,2009,4498510,6469816
43,China,2009,0,0
44,China Continental,2009,0,0
45,Cingapura,2009,0,0
46,Costa Rica,2009,0,0
47,Emirados,2009,39000,94203
48,Espanha,2009,0,0
49,Estados Unidos,2009,347316,783086
50,França,2009,0,0
51,Grécia,2009,0,0
52,Guiana Britânica,2009,0,0
53,Índia,2009,128000,270168
54,Irã,2009,112460,191560
55,Itália,2009,0,0
56,Japão,2009,0,0
57,México,2009,0,0
58,Países Baixos,2009,0,0
59,Paraguai,2009,0,0
60,Peru,2009,0,0
61,Portugal,2009,0,0
62,Reino Unido,2009,0,0
63,Suécia,2009,0,0
64,Turquia,2009,126600,169075
65,Uruguai,2009,0,0
66,Uzbequistão,2009,0,0
67,Venezuela,2009,0,0
68,Não consta na tabela,2009,0,0
69,Outros,2009,0,0
70,Afeganistão,2010,18000,28050
71,África do Sul,2010,700846,2037012
72,"Alemanha, República Democrática",2010,0,0
73,Arábia Saudita,2010,0,0
74,Argentina,2010,17279688,34499504
75,Austrália,2010,0,0
76,Bélgica,2010,0,0
77,Chile,2010,814720,1660791
78,China,2010,0,0
79,China Continental,2010,19000,39520
80,Cingapura,2010,0,0
81,Costa Rica,2010,0,0
82,Emirados,2010,20000,44949
83,Espanha,2010,0,0
84,Estados Unidos,2010,526225,1274258
85,França,2010,0,0
86,Grécia,2010,0,0
87,Guiana Britânica,2010,0,0
88,Índia,2010,0,0
89,Irã,2010,4112310,6968914
90,Itália,2010,0,0
91,Japão,2010,0,0
92,México,2010,0,0
93,Países Baixos,2010,0,0
94,Paraguai,2010,0,0
95,Peru,2010,0,0
96,Portugal,2010,0,0
97,Reino Unido,2010,0,0
98,Suécia,2010,0,0
99,Turquia,2010,2428575,4111212
100,Uruguai,2010,0,0
101,Uzbequistão,2010,0,0
102,Venezuela,2010,0,0
103,Não consta na tabela,2010,0,0
104,Outros,2010,0,0
105,Afeganistão,2011,400000,669059
106,África do Sul,2011,184250,596923
107,"Alemanha, República Democrática",2011,0,0
108,Arábia Saudita,2011,0,0
109,Argentina,2011,20533473,43262321
110,Austrália,2011,0,0
111,Bélgica,2011,0,0
112,Chile,2011,1127280,2614062
113,China,2011,0,0
114,China Continental,2011,19200,51100
115,Cingapura,2011,38150,97572
116,Costa Rica,2011,0,0
117,Emirados,2011,35460,100631
118,Espanha,2011,0,0
119,Estados Unidos,2011,391515,1180759
120,França,2011,0,0
121,Grécia,2011,4095,25496
122,Guiana Britânica,2011,0,0
123,Índia,2011,0,0
124,Irã,2011,533570,1250450
125,Itália,2011,10,39
126,Japão,2011,0,0
127,México,2011,0,0
128,Países Baixos,2011,0,0
129,Paraguai,2011,0,0
130,Peru,2011,0,0
131,Portugal,2011,13,59
132,Reino Unido,2011,0,0
