,País,Ano,Quantidade,Valor
0,Africa do Sul,2008,315380,1151699
1,Alemanha,2008,293935,1063825
2,Argélia,2008,0,0
3,Arábia Saudita,2008,0,0
4,Argentina,2008,14417761,37382581
5,Armênia,2008,0,0
6,Austrália,2008,215135,1248671
7,Áustria,2008,11388,73348
8,Bermudas,2008,0,0
9,Bélgica,2008,0,0
10,Bolívia,2008,0,0
11,Bósnia-Herzegovina,2008,0,0
12,Brasil,2008,309,1769
13,Bulgária,2008,0,0
14,Canada,2008,396,30957
15,Chile,2008,18662626,50748373
16,China,2008,6858,32738
17,"Coreia do Sul, República",2008,0,0
18,Croácia,2008,0,0
19,Cuba,2008,0,0
20,Emirados Árabes Unidos,2008,0,0
21,Eslovênia,2008,0,0
22,Eslováquia,2008,0,0
23,Espanha,2008,990697,6036397
24,Estados Unidos,2008,65956,542331
25,França,2008,2466277,16275708
26,Geórgia,2008,0,0
27,"Geórgia do Sul e Sandwich do Sul, Ilhas",2008,0,0
28,Grécia,2008,11034,78819
29,Hong Kong,2008,0,0
30,Hungria,2008,15981,90021
31,Indonésia,2008,0,0
32,Irlanda,2008,0,0
33,Israel,2008,8694,41161
34,Itália,2008,9723292,24378627
35,Japão,2008,0,0
36,Iugoslávia,2008,0,0
37,Líbano,2008,10270,47054
38,Luxemburgo,2008,0,0
39,Macedônia,2008,0,0
40,Marrocos,2008,0,0
41,México,2008,0,0
42,Moldávia,2008,0,0
43,Montenegro,2008,0,0
44,Noruega,2008,0,0
45,Nova Zelândia,2008,58408,536625
46,Países Baixos (Holanda),2008,0,0
47,Panamá,2008,0,0
48,Peru,2008,0,0
49,Porto Rico,2008,0,0
50,Portugal,2008,6213781,23826443
51,Reino Unido,2008,315,10257
52,Republica Dominicana,2008,0,0
53,Romênia,2008,0,0
54,Rússia,2008,0,0
55,San Marino,2008,0,0
56,Sérvia,2008,0,0
57,Síria,2008,0,0
58,Suazilândia,2008,0,0
59,Suíça,2008,1194,5359
60,"Tcheca, República",2008,0,0
61,Tunísia,2008,0,0
62,Turquia,2008,0,0
63,Ucrânia,2008,0,0
64,Uruguai,2008,920389,2089539
65,Não consta na tabela,2008,0,0
66,Não declarados,2008,0,0
67,Outros,2008,0,0
68,Africa do Sul,2009,493093,1931449
69,Alemanha,2009,56075,291876
70,Argélia,2009,0,0
71,Arábia Saudita,2009,0,0
72,Argentina,2009,13902750,38521731
73,Armênia,2009,0,0
74,Austrália,2009,270908,998680
75,Áustria,2009,1895,12073
76,Bermudas,2009,0,0
77,Bélgica,2009,0,0
78,Bolívia,2009,0,0
79,Bósnia-Herzegovina,2009,0,0
80,Brasil,2009,0,0
81,Bulgária,2009,0,0
82,Canada,2009,0,0
83,Chile,2009,22476643,61380795
84,China,2009,0,0
85,"Coreia do Sul, República",2009,0,0
86,Croácia,2009,0,0
87,Cuba,2009,0,0
88,Emirados Árabes Unidos,2009,0,0
89,Eslovênia,2009,0,0
90,Eslováquia,2009,0,0
91,Espanha,2009,1119540,6224187
92,Estados Unidos,2009,85393,702825
93,França,2009,2372448,16893114
94,Geórgia,2009,0,0
95,"Geórgia do Sul e Sandwich do Sul, Ilhas",2009,0,0
96,Grécia,2009,52474,190076
97,Hong Kong,2009,0,0
98,Hungria,2009,12632,87626
99,Indonésia,2009,0,0
100,Irlanda,2009,0,0
101,Israel,2009,8924,36534
102,Itália,2009,8387908,23079424
103,Japão,2009,0,0
104,Iugoslávia,2009,0,0
105,Líbano,2009,5310,34971
106,Luxemburgo,2009,0,0
107,Macedônia,2009,0,0
108,Marrocos,2009,0,0
109,México,2009,0,0
110,Moldávia,2009,0,0
111,Montenegro,2009,0,0
112,Noruega,2009,0,0
113,Nova Zelândia,2009,30806,302244
114,Países Baixos (Holanda),2009,0,0
115,Panamá,2009,0,0
116,Peru,2009,0,0
117,Porto Rico,2009,0,0
118,Portugal,2009,5884719,23688318
119,Reino Unido,2009,10236,53375
120,Republica Dominicana,2009,0,0
121,Romênia,2009,0,0
122,Rússia,2009,0,0
123,San Marino,2009,0,0
124,Sérvia,2009,0,0
125,Síria,2009,0,0
126,Suazilândia,2009,0,0
127,Suíça,2009,4860,13129
128,"Tcheca, República",2009,0,0
129,Tunísia,2009,0,0
130,Turquia,2009,0,0
131,Ucrânia,2009,0,0
132,Uruguai,2009,750343,1953390
133,Não consta na tabela,2009,0,0
134,Não declarados,2009,0,0
135,Outros,2009,0,0
136,Africa do Sul,2010,966276,3600658
137,Alemanha,2010,192661,784674
138,Argélia,2010,0,0
139,Arábia Saudita,2010,0,0
