,País,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total,percentual
0,França,991608,1130768,1462949,1802575,1852431,1491052,1230946,1341884,1171383,1778528,3637804,1610293,1116188,1134059,1268840,1401753,48846122,28.86841
1,Itália,1051675,693765,1079836,1137610,1123066,978230,1095148,1017420,1089617,3065767,2147490,1874314,1524542,1093108,1169909,952639,42188272,24.93357
2,Espanha,266955,388452,512539,831585,1054367,850428,925502,899587,864154,1493908,1515106,1440241,1421655,2016806,2236061,3438264,40311220,23.82422
3,Argentina,1015357,894550,1086901,997492,963574,702963,807366,490536,358510,661857,706478,757716,469547,723847,1333420,839006,25618240,15.14056
4,Chile,84673,39533,68562,66639,137790,123026,133935,236342,117678,304391,316293,233064,253225,232948,342625,592991,6567430,3.8814
5,Portugal,62471,31170,74184,53756,77260,66552,60430,59472,88448,123786,128802,144296,102324,65238,103443,95326,2673916,1.5803
6,Brasil,1072,0,468,6210,60601,10195,8606,6383,1014,6166,566215,15464,3491,548,0,7,1372880,0.81138
7,Africa do Sul,9212,10381,8121,20213,24954,26985,18659,19686,7394,4913,15368,17583,3574,6980,9882,7650,423110,0.25006
8,Estados Unidos,12417,7119,11387,4553,15461,15698,27023,18519,12343,8408,26405,13239,13255,143,181,259,372820,0.22034
9,Austrália,495,225,0,45,0,30,0,4967,19182,19198,57917,16701,7426,8062,0,3150,274796,0.16241
10,Alemanha,1959,1170,1116,810,1260,1247,5093,3647,3420,4819,18376,26853,21174,19977,12447,322,247380,0.1462
11,Uruguai,1755,900,5850,135,87,0,1068,1760,7880,1080,776,2241,2908,8947,1206,10814,94814,0.05604
12,Panamá,0,0,0,0,0,0,0,0,0,0,15057,0,0,0,0,0,30114,0.0178
13,Hungria,0,0,0,0,404,1020,518,0,1238,1624,1802,585,765,1142,2090,0,22376,0.01322
14,Reino Unido,0,0,0,0,0,0,0,467,0,350,3834,1320,2309,254,0,1507,20082,0.01187
15,Eslovênia,0,0,0,0,78,0,445,1058,2115,2093,1800,518,68,450,803,0,18856,0.01114
16,Israel,1350,0,1224,990,310,0,0,0,0,0,0,5035,296,0,0,0,18410,0.01088
17,Áustria,756,0,0,0,180,720,698,0,0,0,1228,1269,909,90,0,882,13464,0.00796
18,Países Baixos,0,0,0,0,0,0,0,0,0,0,305,827,3412,0,0,0,9088,0.00537
19,Romênia,0,0,0,0,0,0,743,488,0,0,0,0,0,432,1914,743,8640,0.00511
20,Canada,0,0,0,0,0,0,0,0,0,0,3852,0,0,0,54,23,7858,0.00464
21,Moldávia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2892,955,7694,0.00455
22,Tunísia,0,0,0,870,1988,800,0,0,0,0,0,0,0,0,0,0,7316,0.00432
23,Nova Zelândia,315,630,720,135,270,180,450,135,0,0,0,72,0,0,270,0,6354,0.00376
24,Ucrânia,0,0,0,0,0,0,0,0,1739,0,0,0,0,0,1330,0,6138,0.00363
25,Hong Kong,0,0,0,0,2607,283,0,0,0,0,0,0,72,0,0,0,5924,0.0035
26,Emirados Árabes Unidos,0,0,0,0,0,0,8,104,2371,0,0,0,0,0,0,0,4966,0.00293
27,Grécia,0,0,0,0,0,113,329,577,0,156,0,230,0,92,92,300,3778,0.00223
28,México,0,0,396,0,0,0,0,1154,0,0,95,133,0,0,0,0,3556,0.0021
29,Suíça,0,0,0,0,0,0,0,0,11,0,576,0,481,66,0,464,3196,0.00189
30,Bulgária,0,0,0,0,0,0,222,4,0,3,0,0,0,0,976,0,2410,0.00142
31,Luxemburgo,0,0,0,0,252,0,0,0,0,0,208,518,0,0,0,0,1956,0.00116
32,Outros,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1944,0.00115
33,Bélgica,0,0,0,0,0,0,0,0,0,923,0,0,0,0,0,0,1846,0.00109
34,Geórgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915,0,1830,0.00108
35,Bahamas,0,0,0,0,0,0,0,73,60,519,169,0,0,0,0,0,1642,0.00097
36,Irlanda,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,782,0.00046
37,Peru,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,610,0.00036
38,Croácia,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,450,0.00027
39,Indonésia,0,0,0,0,0,0,0,0,0,0,35,66,0,0,0,0,202,0.00012
40,Bermudas,0,0,0,0,0,0,0,0,0,0,0,0,0,70,5,3,156,9e-05
41,Cuba,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,58,3e-05
42,Granada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.0
43,Não consta na tabela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
44,Não declarados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
