,País,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total,percentual
0,Chile,100000,0,1015000,0,0,0,0,23790,94940,0,0,0,0,0,0,0,1233730,28.56054
1,"Coreia do Sul, República",735,16661,15080,130902,542548,176796,12655,85145,30022,28927,77955,0,0,0,0,0,1117426,25.86813
2,itália,0,0,0,0,0,771457,0,225,774,1161,0,0,0,0,0,1836,775453,17.95154
3,Africa do Sul,14379,11839,37353,38796,74388,67758,43104,13125,7154,22029,21618,0,0,0,0,0,351543,8.13813
4,Estados Unidos,8455,13178,10657,12487,13498,32044,0,23578,68730,32691,14541,9273,28180,3870,29414,28627,329223,7.62143
5,Argentina,0,0,108000,0,0,0,0,0,59028,72900,2998,0,0,0,0,0,242926,5.62368
6,Alemanha,60850,0,0,0,0,0,0,6496,6540,0,80,0,0,0,0,0,73966,1.71229
7,Turquia,0,0,0,0,6210,0,13428,5052,0,27816,0,0,0,0,0,0,52506,1.2155
8,Peru,0,0,0,0,0,0,0,0,10238,38321,0,0,0,0,0,0,48559,1.12413
9,"Coreia do Norte, República",0,0,0,0,0,0,16704,15651,0,0,0,0,0,0,0,0,32355,0.74901
10,Israel,900,900,1125,0,1139,2528,0,2575,1200,5340,840,3360,0,720,0,0,20627,0.47751
11,Espanha,0,0,0,0,0,9588,0,0,0,0,422,0,0,0,0,0,10010,0.23173
12,Uruguai,0,0,2139,5786,0,0,0,0,0,0,225,0,0,0,0,0,8150,0.18867
13,Taiwan,0,0,0,0,1632,3672,2040,0,0,0,0,0,0,0,0,0,7344,0.17001
14,Portugal,0,0,0,0,1151,0,0,0,0,4500,0,0,0,0,0,0,5651,0.13082
15,Austria,0,0,0,3264,0,0,0,0,0,1333,0,666,0,0,0,0,5263,0.12184
16,China,0,0,0,0,0,0,0,0,0,2475,0,0,0,0,0,0,2475,0.0573
17,Reino Unido,0,0,0,1632,0,0,0,0,0,0,0,0,0,0,0,0,1632,0.03778
18,França,0,0,0,0,0,0,0,862,0,0,0,0,0,0,0,0,862,0.01996
19,Canadá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,Panamá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,Países Baixos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,Líbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,Japão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,Dinamarca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,Outros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
