,País,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total,percentual
0,Chile,3479598,10846054,11806542,18620819,22385291,24392313,25952434,24254096,18424582,18510455,16103415,9082957,4943446,3888723,6536258,6144949,225371932,67.24138
1,Argentina,8941022,7453027,11559264,13438557,8714800,5810559,2758211,3569873,3931377,2097970,1616855,3211513,1798220,1356735,771187,400781,77429951,23.1018
2,Peru,0,75550,504154,240389,426468,728022,3184984,2645931,4399499,2553897,947045,1585923,487080,75768,0,1086032,18940742,5.65111
3,Itália,0,14439,190141,552911,1154322,1073920,1228338,1053083,589675,788663,334544,591991,0,0,0,0,7572027,2.25917
4,Espanha,30350,124345,212463,993310,393387,246827,401281,145066,431567,243947,83212,51079,0,0,0,0,3356834,1.00154
5,México,16656,31200,432639,233856,173184,298656,184747,133608,0,0,0,0,0,0,414622,0,1919168,0.5726
6,Estados Unidos,91055,120861,89492,3265,32458,80518,50811,16504,3522,2164,15100,1343,0,0,0,0,507093,0.15129
7,Egito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27760,0,27760,0.00828
8,Argélia,0,0,0,0,0,0,0,0,0,0,0,0,21746,0,0,0,21746,0.00649
9,Brasil,0,0,0,0,14612,0,0,0,0,0,0,0,0,0,0,0,14612,0.00436
10,Portugal,6640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6640,0.00198
11,Grécia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,Colômbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,Paraguai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,Panamá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,Reino Unido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16,Uruguai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,Não consta na tabela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,Outros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
