,País,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total,percentual
0,Argentina,15641645,17209323,17279688,20533473,19728826,20571302,14681136,20905602,23280908,19742996,23564519,24135143,24992502,24015825,20829418,19758017,326870323,79.2707
1,Chile,2075850,4498510,814720,1127280,2046530,453310,2615382,747700,365670,483305,127231,384437,286774,225630,3584100,4411180,24247609,5.88039
2,Turquia,124100,126600,2428575,987310,709785,0,1981070,1006000,2386092,2834805,262616,427590,607780,186000,1477000,2621500,18166823,4.40571
3,Irã,1089540,112460,4112310,533570,306700,1415828,942500,184500,493000,1194500,340000,646000,435600,514700,403000,786500,13510708,3.27654
4,África do Sul,641051,195000,700846,184250,986750,0,2220275,1418063,617500,370500,1089700,270875,616688,327000,657826,151500,10447824,2.53375
5,Índia,0,128000,0,0,166862,36000,247000,57000,162000,397130,736700,481000,883000,577250,2767840,1293900,7933682,1.92403
6,Estados Unidos,448157,347316,526225,391515,512716,538319,369887,350138,236134,257670,42859,90132,105360,109043,115517,7578,4448566,1.07884
7,Uzbequistão,0,0,0,40000,71900,0,0,0,0,0,0,399630,397030,0,132000,2045600,3086160,0.74844
8,China Continental,0,0,19000,19200,63000,100027,98050,0,0,53000,224165,934000,0,0,0,0,1510442,0.3663
9,Afeganistão,0,0,18000,400000,0,18000,456000,125000,0,0,0,40000,0,0,0,0,1057000,0.25634
10,Emirados,124510,39000,20000,35460,19000,240800,100000,40000,0,0,0,0,0,0,0,0,618770,0.15006
11,China,0,0,0,0,0,0,0,0,0,0,0,0,172000,110,0,72000,244110,0.0592
12,Cingapura,0,0,0,38150,0,40000,0,0,0,0,0,0,0,0,0,0,78150,0.01895
13,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49000,0,49000,0.01188
14,Peru,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,25000,25010,0.00607
15,Uruguai,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,25000,0.00606
16,Grécia,0,0,0,4095,0,0,10000,0,4000,1950,1600,0,0,0,0,0,21645,0.00525
17,França,0,0,0,0,1474,720,1600,658,0,0,0,0,0,0,0,0,4452,0.00108
18,Itália,1250,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1260,0.00031
19,Portugal,0,0,0,13,0,0,0,250,0,0,0,0,0,0,0,0,263,6e-05
20,Reino Unido,0,0,0,0,0,0,10,25,21,66,20,11,0,0,0,0,153,4e-05
21,Espanha,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
22,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,Não consta na tabela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,Suécia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,Guiana Britânica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,Paraguai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,Países Baixos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,Japão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,Bélgica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
31,Austrália,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,Arábia Saudita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,"Alemanha, República Democrática",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
34,Outros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
