,País,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total,percentual
0,França,10773247,11933677,17012302,20020633,22744192,22873679,20831149,21849752,12017375,14966946,12678962,13991734,8814571,12590570,13164535,20166147,256429471,55.81487
1,Espanha,1179471,1397582,1904476,3017324,4537094,3917939,4519845,4183324,3249876,5592839,5707839,4463736,3871128,5732174,5668798,9801916,68745361,14.96323
2,Itália,4474690,2984665,4703738,4966429,4953550,4223637,4462987,3670403,3467993,5635842,5947967,4790173,3544718,3142129,3356633,3533749,67859303,14.77037
3,Argentina,3094003,2730102,3583463,3818944,3985004,2545215,3221463,1814349,1240249,2249681,2462909,2282614,1304986,2211657,4123623,2765843,43434105,9.45394
4,Chile,234038,165731,243004,248691,484791,478646,599993,838250,523242,1350744,1312445,912613,775535,686466,959421,1952709,11766319,2.56108
5,Portugal,273717,164404,326868,317547,382541,331054,316889,223379,321629,492083,526987,621259,324099,277677,391952,386265,5678350,1.23596
6,Brasil,7645,0,62570,52984,313190,44337,37228,47936,4936,180512,162992,238268,106310,3488,0,184,1262580,0.27482
7,Africa do Sul,30630,42463,37035,123099,133975,158325,114275,96316,50715,23919,74800,72077,14542,36677,64582,69382,1142812,0.24875
8,Estados Unidos,34991,25952,49664,15458,88292,50841,101802,85864,30366,226792,64081,105197,31083,2173,2053,10273,924882,0.20131
9,Alemanha,12516,8434,5753,8800,9975,11745,34413,5589,8275,37116,82273,169989,65359,46237,26877,5111,538462,0.1172
10,Austrália,3343,2108,0,174,0,419,0,15439,32115,51731,212199,27592,15190,26208,0,10474,396992,0.08641
11,Uruguai,8372,10200,19080,932,600,0,3310,2832,42863,7920,5786,22983,18124,47217,5579,45704,241502,0.05257
12,Países Baixos,0,0,0,0,0,0,0,0,0,0,10695,47027,151690,0,0,0,209412,0.04558
13,Reino Unido,0,0,0,0,0,0,0,4211,0,2424,104831,11869,17975,3016,0,28581,172907,0.03764
14,Canada,0,0,0,0,0,0,0,0,0,0,109402,0,0,0,1017,279,110698,0.02409
15,Áustria,6680,0,0,0,1139,6050,6352,0,0,0,11638,11571,9399,1434,0,8833,63096,0.01373
16,Israel,6912,0,5467,11627,6552,0,0,0,0,0,0,17085,9540,0,0,0,57183,0.01245
17,Suíça,0,0,0,0,0,0,0,0,711,0,4031,0,15222,376,0,34430,54770,0.01192
18,Bélgica,0,0,0,0,0,0,0,0,0,50574,0,0,0,0,0,0,50574,0.01101
19,Eslovênia,0,0,0,0,221,0,2329,5075,9486,10110,8860,2539,327,2426,2982,0,44355,0.00965
20,Emirados Árabes Unidos,0,0,0,0,0,0,271,2005,38954,0,0,0,0,0,0,0,41230,0.00897
21,Hungria,0,0,0,0,1317,2984,1715,0,5927,6960,5977,1379,2061,2471,3828,0,34619,0.00754
22,Panamá,0,0,0,0,0,0,0,0,0,0,30546,0,0,0,0,0,30546,0.00665
23,Nova Zelândia,3921,5106,6858,861,3046,1950,3023,1684,0,0,0,657,0,0,3114,0,30220,0.00658
24,Hong Kong,0,0,0,0,15170,1593,0,0,0,0,0,0,5061,0,0,0,21824,0.00475
25,Bahamas,0,0,0,0,0,0,0,684,688,11136,2283,0,0,0,0,0,14791,0.00322
26,Romênia,0,0,0,0,0,0,1011,528,0,0,0,0,0,2271,5007,3841,12658,0.00276
27,México,0,0,834,0,0,0,0,9334,0,0,777,1104,0,0,0,0,12049,0.00262
28,Tunísia,0,0,0,2091,4035,3887,0,0,0,0,0,0,0,0,0,0,10013,0.00218
29,Luxemburgo,0,0,0,0,1115,0,0,0,0,0,1902,4067,0,0,0,0,7084,0.00154
30,Grécia,0,0,0,0,0,222,1459,1574,0,277,0,318,0,422,366,1757,6395,0.00139
31,Moldávia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3713,1165,4878,0.00106
32,Irlanda,0,0,0,0,0,0,0,4062,0,0,0,0,0,0,0,0,4062,0.00088
33,Ucrânia,0,0,0,0,0,0,0,0,2423,0,0,0,0,0,1616,0,4039,0.00088
34,Bulgária,0,0,0,0,0,0,546,7,0,716,0,0,0,0,1535,0,2804,0.00061
35,Outros,0,2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2665,0.00058
36,Geórgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2325,0,2325,0.00051
37,Peru,0,0,0,0,0,0,977,0,0,0,0,0,0,0,0,0,977,0.00021
38,Indonésia,0,0,0,0,0,0,0,0,0,0,271,529,0,0,0,0,800,0.00017
39,Bermudas,0,0,0,0,0,0,0,0,0,0,0,0,0,611,67,54,732,0.00016
40,Croácia,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,483,0.00011
41,Cuba,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,243,5e-05
42,Granada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,1e-05
43,Não consta na tabela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
44,Não declarados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
