,País,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total,percentual
0,Chile,4246892,12828213,17019296,27472449,36393910,43466944,47301298,36956724,30767570,29248621,25237521,13450429,6986630,5404163,9640996,9738753,712320818,67.19017
1,Argentina,10223013,8062155,15926306,19759895,13595978,10558621,4852008,5636226,5771032,3302565,2499358,4659791,2559671,1696659,1053519,525034,221363662,20.88029
2,Peru,0,135846,1097870,580014,1040103,1798788,6629415,4885560,7646918,4729591,1936467,2862870,852856,151819,0,2635488,73967210,6.97701
3,Itália,0,40411,438972,1045123,2161324,2303222,2274045,1856161,1002856,1442078,610245,1020673,0,0,0,0,28390220,2.67793
4,Espanha,75904,253794,325707,1894982,679189,505467,716423,257656,628571,403978,164529,109171,0,0,0,0,12030742,1.13481
5,México,42034,93644,1025498,601883,388467,742610,398096,307654,0,0,0,0,0,0,902301,0,9004374,0.84934
6,Estados Unidos,247523,283233,241211,16288,85451,205104,166753,65265,21093,17056,40981,10481,0,0,0,0,2800878,0.26419
7,Egito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53709,0,107418,0.01013
8,Brasil,0,0,0,0,37412,0,0,0,0,0,0,0,0,0,0,0,74824,0.00706
9,Argélia,0,0,0,0,0,0,0,0,0,0,0,0,34476,0,0,0,68952,0.0065
10,Portugal,13583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27166,0.00256
11,Grécia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,Colômbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,Paraguai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,Panamá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,Reino Unido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16,Uruguai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,Não consta na tabela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,Outros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
