,País,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total,percentual
0,Chile,130000,0,3003445,0,0,0,0,29024,183525,0,0,0,0,0,0,0,3345994,52.22629
1,"Coreia do Sul, República",270,17249,18097,136380,577061,227252,14784,49712,44524,41276,99441,0,0,0,0,0,1226046,19.13686
2,itália,0,0,0,0,0,408318,0,771,1594,4254,0,0,0,0,0,1966,416903,6.50727
3,Estados Unidos,14898,24066,17793,13866,9740,34722,0,28765,108205,40554,8226,14093,25418,3551,16781,15200,375878,5.86693
4,Africa do Sul,10961,9400,31729,34605,71839,68254,40489,13209,5841,17551,18334,0,0,0,0,0,322212,5.02928
5,Argentina,0,0,138240,0,0,0,0,0,80898,90518,3139,0,0,0,0,0,312795,4.88229
6,Alemanha,68950,0,0,0,0,0,0,46692,75902,0,652,0,0,0,0,0,192196,2.99991
7,Turquia,0,0,0,0,15446,0,10216,3846,0,19461,0,0,0,0,0,0,48969,0.76434
8,"Coreia do Norte, República",0,0,0,0,0,0,24698,22621,0,0,0,0,0,0,0,0,47319,0.73858
9,Peru,0,0,0,0,0,0,0,0,8908,37176,0,0,0,0,0,0,46084,0.71931
10,Israel,1551,1783,1684,0,2021,4831,0,4651,1656,7399,1034,3609,0,969,0,0,31188,0.4868
11,Portugal,0,0,0,0,3796,0,0,0,0,5576,0,0,0,0,0,0,9372,0.14628
12,Espanha,0,0,0,0,0,8215,0,0,0,0,806,0,0,0,0,0,9021,0.14081
13,Uruguai,0,0,1783,4989,0,0,0,0,0,0,600,0,0,0,0,0,7372,0.11507
14,Austria,0,0,0,3254,0,0,0,0,0,1467,0,655,0,0,0,0,5376,0.08391
15,Taiwan,0,0,0,0,1034,2328,1294,0,0,0,0,0,0,0,0,0,4656,0.07267
16,França,0,0,0,0,0,0,0,2229,0,0,0,0,0,0,0,0,2229,0.03479
17,China,0,0,0,0,0,0,0,0,0,2098,0,0,0,0,0,0,2098,0.03275
18,Reino Unido,0,0,0,1016,0,0,0,0,0,0,0,0,0,0,0,0,1016,0.01586
19,Canadá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,Panamá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,Países Baixos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,Líbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,Japão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,Dinamarca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,Outros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
