,País,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total,percentual
0,Argentina,26994373,24106889,34499504,43262321,43648893,47105230,34049473,32341307,34643821,34422405,43501396,48810789,36743996,33337604,35659325,36404746,589532072,79.12886
1,Chile,3697242,6469816,1660791,2614062,5049441,1123963,5771763,1522661,613554,971604,290772,1096176,567197,462855,5524707,7107544,44544148,5.97886
2,Turquia,188996,169075,4111212,1735466,1161161,0,3507617,1666760,3162573,4001169,494370,865709,1210554,311165,2602207,4152236,29340270,3.93814
3,Irã,1925865,191560,6968914,1250450,995038,2617493,1700379,418722,1113453,1975882,817941,1369316,927189,843794,948438,1832934,25897368,3.47603
4,África do Sul,1032307,563360,2037012,596923,3527083,0,3507617,3278109,1487082,942442,3106052,763921,1433381,531327,1266633,397825,24471074,3.28458
5,Estados Unidos,923410,783086,1274258,1180759,1619257,1622047,1113398,1034494,636045,671036,244215,345044,266627,325880,380380,58262,12478198,1.67486
6,Índia,0,270168,0,0,268758,64213,377422,60717,346815,476398,1007031,677056,813317,504532,2568914,1379545,8814886,1.18316
7,Uzbequistão,0,0,0,63483,127883,0,0,0,0,0,0,624285,450389,0,165492,2433719,3865251,0.51881
8,China Continental,0,0,39520,51100,216812,193223,142328,0,0,65028,279253,1352954,0,0,0,0,2340218,0.31411
9,Afeganistão,0,0,28050,669059,0,32600,789790,179545,0,0,0,65452,0,484,0,0,1764980,0.2369
10,Emirados,204910,94203,44949,100631,70026,442625,184835,95856,0,0,0,0,0,0,0,0,1238035,0.16617
11,China,0,0,0,0,0,0,0,0,0,0,0,0,178472,76,0,111390,289938,0.03892
12,Cingapura,0,0,0,97572,0,77213,0,0,0,0,0,0,0,0,0,0,174785,0.02346
13,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95550,0,95550,0.01283
14,Grécia,0,0,0,25496,0,0,24994,0,9248,4287,5156,0,0,0,0,0,69181,0.00929
15,Peru,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,40630,40640,0.00545
16,Uruguai,0,0,0,0,0,0,0,0,0,0,0,0,35866,0,0,0,35866,0.00481
17,França,0,0,0,0,12148,6016,3368,4705,0,0,0,0,0,0,0,0,26237,0.00352
18,Itália,5491,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,5530,0.00074
19,Reino Unido,0,0,0,0,0,0,170,426,402,1494,461,209,0,0,0,0,3162,0.00042
20,Portugal,0,0,0,59,0,0,0,445,0,0,0,2,0,0,0,0,506,7e-05
21,Espanha,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0.0
22,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,Não consta na tabela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,Suécia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,Guiana Britânica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,Paraguai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,Países Baixos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,Japão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,Bélgica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
31,Austrália,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,Arábia Saudita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,"Alemanha, República Democrática",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
34,Outros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
