,Categoria,Nome Produto,Tipo,Ano,Total_Produzido,Total_Comercializado
0,vinho,tinto,vinho mesa,2007,228156220,190526781
1,vinho,branco,vinho mesa,2007,42118552,29122090
2,vinho,rosado,vinho mesa,2007,5013136,2252558
3,vinho,tinto,vinho fino vinífera,2007,24786071,13872339
4,vinho,branco,vinho fino vinífera,2007,17598428,7197075
5,vinho,rosado,vinho fino vinífera,2007,791985,416285
6,suco,suco de uva integral,suco de uva,2007,10147037,0
7,suco,suco de uva concentrado,suco de uva,2007,19280709,0
8,suco,suco de uva adoçado,suco de uva,2007,709098,0
9,suco,suco de uva orgânico,suco de uva,2007,0,0
10,suco,suco de uva reconstituído,suco de uva,2007,0,0
11,espumante,espumante,derivado,2007,0,0
12,espumante,espumante moscatel,derivado,2007,589332,1585203
13,espumante,base espumante,derivado,2007,78250,0
14,espumante,base espumante moscatel,derivado,2007,111200,0
15,outros,base champenoise champanha,derivado,2007,0,0
16,outros,base charmat champanha,derivado,2007,0,0
17,outros,bebida de uva,derivado,2007,0,0
18,outros,polpa de uva,derivado,2007,1083202,0
19,outros,mosto simples,derivado,2007,37558010,0
20,outros,mosto concentrado,derivado,2007,110000,0
21,outros,mosto de uva com bagaço,derivado,2007,0,0
22,outros,mosto dessulfitado,derivado,2007,0,0
23,outros,mistelas,derivado,2007,1900,3430
24,outros,néctar de uva,derivado,2007,0,0
25,outros,licorosos,derivado,2007,0,0
26,outros,compostos,derivado,2007,0,0
27,outros,jeropiga,derivado,2007,0,19926
28,outros,filtrado,derivado,2007,0,0
29,outros,frisante,derivado,2007,0,0
30,vinho,vinho leve,derivado,2007,0,0
31,vinho,vinho licoroso,derivado,2007,27926,587652
32,outros,brandy,derivado,2007,0,5929
33,outros,destilado,derivado,2007,0,139410
34,outros,bagaceira,derivado,2007,48500,21186
35,outros,licor de bagaceira,derivado,2007,0,0
36,outros,vinagre,derivado,2007,0,0
37,outros,borra líquida,derivado,2007,2095873,0
38,outros,borra seca,derivado,2007,0,24543
39,vinho,vinho composto,derivado,2007,0,898156
40,outros,pisco,derivado,2007,0,0
41,vinho,vinho orgânico,derivado,2007,307410,0
42,espumante,espumante orgânico,derivado,2007,0,0
43,outros,destilado alcoólico simples de bagaceira ,derivado,2007,0,0
44,vinho,vinho acidificado ,derivado,2007,0,0
45,outros,mosto parcialmente fermentado ,derivado,2007,0,0
46,outros,outros derivados,derivado,2007,0,0
47,vinho,tinto,vinho mesa,2008,241057928,172020779
48,vinho,branco,vinho mesa,2008,42942053,26627054
49,vinho,rosado,vinho mesa,2008,3506830,1840779
50,vinho,tinto,vinho fino vinífera,2008,27583032,13920224
51,vinho,branco,vinho fino vinífera,2008,18812571,8934001
52,vinho,rosado,vinho fino vinífera,2008,938898,313513
53,suco,suco de uva integral,suco de uva,2008,11817941,0
54,suco,suco de uva concentrado,suco de uva,2008,23014646,0
55,suco,suco de uva adoçado,suco de uva,2008,815407,0
56,suco,suco de uva orgânico,suco de uva,2008,0,0
57,suco,suco de uva reconstituído,suco de uva,2008,0,0
58,espumante,espumante,derivado,2008,88690,0
59,espumante,espumante moscatel,derivado,2008,1113462,1905395
60,espumante,base espumante,derivado,2008,220120,12794
61,espumante,base espumante moscatel,derivado,2008,474721,0
62,outros,base champenoise champanha,derivado,2008,0,0
63,outros,base charmat champanha,derivado,2008,0,0
64,outros,bebida de uva,derivado,2008,1082700,0
65,outros,polpa de uva,derivado,2008,1188260,0
66,outros,mosto simples,derivado,2008,53683415,0
67,outros,mosto concentrado,derivado,2008,0,0
68,outros,mosto de uva com bagaço,derivado,2008,0,0
69,outros,mosto dessulfitado,derivado,2008,0,0
70,outros,mistelas,derivado,2008,2000,3340
71,outros,néctar de uva,derivado,2008,0,0
72,outros,licorosos,derivado,2008,0,0
73,outros,compostos,derivado,2008,0,0
74,outros,jeropiga,derivado,2008,0,10796
75,outros,filtrado,derivado,2008,0,0
76,outros,frisante,derivado,2008,0,0
77,vinho,vinho leve,derivado,2008,0,0
78,vinho,vinho licoroso,derivado,2008,65650,557062
79,outros,brandy,derivado,2008,0,6606
80,outros,destilado,derivado,2008,0,32281
81,outros,bagaceira,derivado,2008,8500,23195
82,outros,licor de bagaceira,derivado,2008,0,0
83,outros,vinagre,derivado,2008,0,0
84,outros,borra líquida,derivado,2008,1679775,0
85,outros,borra seca,derivado,2008,0,18640
86,vinho,vinho composto,derivado,2008,0,1065845
87,outros,pisco,derivado,2008,0,0
88,vinho,vinho orgânico,derivado,2008,15000,0
89,espumante,espumante orgânico,derivado,2008,0,0
90,outros,destilado alcoólico simples de bagaceira ,derivado,2008,0,0
91,vinho,vinho acidificado ,derivado,2008,0,0
92,outros,mosto parcialmente fermentado ,derivado,2008,0,0
93,outros,outros derivados,derivado,2008,0,0
94,vinho,tinto,vinho mesa,2009,164143454,193004182
95,vinho,branco,vinho mesa,2009,39211278,39214217
96,vinho,rosado,vinho mesa,2009,2063474,2307580
97,vinho,tinto,vinho fino vinífera,2009,18209043,19576295
98,vinho,branco,vinho fino vinífera,2009,21366975,13290140
99,vinho,rosado,vinho fino vinífera,2009,324550,213835
100,suco,suco de uva integral,suco de uva,2009,16034003,0
101,suco,suco de uva concentrado,suco de uva,2009,23006457,0
102,suco,suco de uva adoçado,suco de uva,2009,674638,0
103,suco,suco de uva orgânico,suco de uva,2009,0,0
104,suco,suco de uva reconstituído,suco de uva,2009,0,0
105,espumante,espumante,derivado,2009,0,0
106,espumante,espumante moscatel,derivado,2009,1190500,2500230
107,espumante,base espumante,derivado,2009,335850,0
108,espumante,base espumante moscatel,derivado,2009,442150,0
109,outros,base champenoise champanha,derivado,2009,0,0
110,outros,base charmat champanha,derivado,2009,0,0
111,outros,bebida de uva,derivado,2009,420,0
112,outros,polpa de uva,derivado,2009,1352417,0
113,outros,mosto simples,derivado,2009,53418555,0
114,outros,mosto concentrado,derivado,2009,0,0
115,outros,mosto de uva com bagaço,derivado,2009,0,0
116,outros,mosto dessulfitado,derivado,2009,0,0
117,outros,mistelas,derivado,2009,3500,7034
118,outros,néctar de uva,derivado,2009,0,0
119,outros,licorosos,derivado,2009,38000,0
120,outros,compostos,derivado,2009,0,0
121,outros,jeropiga,derivado,2009,0,14443
122,outros,filtrado,derivado,2009,0,0
123,outros,frisante,derivado,2009,0,0
124,vinho,vinho leve,derivado,2009,0,0
125,vinho,vinho licoroso,derivado,2009,0,591313
126,outros,brandy,derivado,2009,0,7151
127,outros,destilado,derivado,2009,0,100
128,outros,bagaceira,derivado,2009,6500,21133
129,outros,licor de bagaceira,derivado,2009,0,0
130,outros,vinagre,derivado,2009,0,0
131,outros,borra líquida,derivado,2009,0,0
132,outros,borra seca,derivado,2009,0,0
133,vinho,vinho composto,derivado,2009,0,542123
134,outros,pisco,derivado,2009,0,0
135,vinho,vinho orgânico,derivado,2009,0,0
136,espumante,espumante orgânico,derivado,2009,0,0
137,outros,destilado alcoólico simples de bagaceira ,derivado,2009,0,0
138,vinho,vinho acidificado ,derivado,2009,0,0
139,outros,mosto parcialmente fermentado ,derivado,2009,0,0
140,outros,outros derivados,derivado,2009,0,0
141,vinho,tinto,vinho mesa,2010,157290088,188649074
142,vinho,branco,vinho mesa,2010,35408083,30556943
143,vinho,rosado,vinho mesa,2010,2569809,2036928
144,vinho,tinto,vinho fino vinífera,2010,11401406,15184398
145,vinho,branco,vinho fino vinífera,2010,13013027,5968959
146,vinho,rosado,vinho fino vinífera,2010,391280,236802
147,suco,suco de uva integral,suco de uva,2010,26887259,0
148,suco,suco de uva concentrado,suco de uva,2010,23238685,0
149,suco,suco de uva adoçado,suco de uva,2010,0,0
150,suco,suco de uva orgânico,suco de uva,2010,0,0
151,suco,suco de uva reconstituído,suco de uva,2010,0,0
152,espumante,espumante,derivado,2010,10125,0
153,espumante,espumante moscatel,derivado,2010,703393,2946179
154,espumante,base espumante,derivado,2010,0,18418
155,espumante,base espumante moscatel,derivado,2010,1144508,0
156,outros,base champenoise champanha,derivado,2010,92082,0
157,outros,base charmat champanha,derivado,2010,254000,0
158,outros,bebida de uva,derivado,2010,7900,0
159,outros,polpa de uva,derivado,2010,1951606,0
160,outros,mosto simples,derivado,2010,45912040,0
161,outros,mosto concentrado,derivado,2010,0,0
162,outros,mosto de uva com bagaço,derivado,2010,0,0
163,outros,mosto dessulfitado,derivado,2010,0,0
164,outros,mistelas,derivado,2010,0,26577
165,outros,néctar de uva,derivado,2010,0,0
166,outros,licorosos,derivado,2010,0,0
167,outros,compostos,derivado,2010,0,0
168,outros,jeropiga,derivado,2010,69000,37310
169,outros,filtrado,derivado,2010,0,0
170,outros,frisante,derivado,2010,831000,0
171,vinho,vinho leve,derivado,2010,0,0
172,vinho,vinho licoroso,derivado,2010,15000,638487
173,outros,brandy,derivado,2010,0,6448
174,outros,destilado,derivado,2010,0,31814
175,outros,bagaceira,derivado,2010,0,16413
176,outros,licor de bagaceira,derivado,2010,0,0
177,outros,vinagre,derivado,2010,5817,0
178,outros,borra líquida,derivado,2010,64304,0
179,outros,borra seca,derivado,2010,149981,46000
180,vinho,vinho composto,derivado,2010,0,661586
181,outros,pisco,derivado,2010,0,0
182,vinho,vinho orgânico,derivado,2010,0,0
183,espumante,espumante orgânico,derivado,2010,0,0
184,outros,destilado alcoólico simples de bagaceira ,derivado,2010,0,0
185,vinho,vinho acidificado ,derivado,2010,0,0
186,outros,mosto parcialmente fermentado ,derivado,2010,0,0
187,outros,outros derivados,derivado,2010,0,0
188,vinho,tinto,vinho mesa,2011,210113358,196562722
189,vinho,branco,vinho mesa,2011,46007504,32078923
190,vinho,rosado,vinho mesa,2011,1719887,1668823
